31.08.2022;Holger Tanz;"Rückzahlung Auslage EK verschiedene Posten:
- Lidl Einkauf Soljanka
- Netto Einkauf Toastbrot 
- Paket Rückversand CO2 Jets
- Real Einkauf Pizzaleberkäse (Helferverpflegung)
- Netto Einkauf Wiener Würstchen (für Verkauf)
- Einkauf Netto Holzkohle  + Wiener 
- Einkauf Rewe Hamburger Brötchen (Helferverpfl.)
- Einkauf Baumarkt Kabelbinder 
- Rückversand Lichterkette Paket 1/2
- Rückversand Lichterkette Paket 2/2
- Einkauf Netto Wiener + Toast (für Verkauf)
- Einkauf Rewe Weißwein, Holzkohle, Pfandrückgabe
";-191,89 €;"
2022-08-30-0026
2022-08-30-0025
2022-08-30-0024
2022-08-30-0023
2022-08-30-0022
2022-08-30-0021
2022-08-30-0020
2022-08-30-0019
2022-08-30-0018
2022-08-30-0017
2022-08-30-0016
2022-08-30-0015"
30.08.2022;VR Bank Filiale Ohrdruf;Einzahlung Bargeld Sommerkino 2022;5.380,00 €;2022-08-30-0001
29.08.2022;Paypal;Auszahlung Ticketverkäufe Website Sommerkino;71,46 €;24C66591JC382471F
29.08.2022;Paramount Pictures Germany GmbH;"Spielfilmabrechnung ""Forrest Gump"" 20.08.2022";-120,00 €;2022-08-30-0029
25.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;29,20 €;R2M8D4
24.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;47,08 €;S6I2H9
23.08.2022;Julius Zink;Rückzahlung Vorauslage Tanken AHG Transporter;-198,75 €;"2022-08-30-0007
2022-08-30-0008"
22.08.2022;Apollo Filmprod. GmbH;"Spielfilmabrechnung ""Dirty Dancing"" 19.08.2022";-448,39 €;2022-08-30-0031
22.08.2022;WINTEC Autoglas Spreda;Druckkosten Helfershirts ;-196,35 €;2022-08-30-0036
22.08.2022;Julius Zink;Rückzahlung Auslage Einkauf Red Bull Rewe Tambach;-81,12 €;2022-08-30-0010
22.08.2022;Paypal;Auszahlung Ticketverkäufe Website Sommerkino;524,75 €;8AB72226CJ176583Y
22.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;31,30 €;K3G5A6
22.08.2022;Johannes Rausch;Mitgliedsbeitrag 2022;40,00 €;
20.08.2022;SH Concerts Stephan Hirte;Miete Veranstaltungstechnik (CO2 Jets) Sommerkino;-172,55 €;220849
20.08.2022;Sony Pictures Entertainment GmbH;"Spielfilmabrechnung ""Kindsköpfe 2"" 13.08.2022";-119,32 €;2022-08-30-0030
20.08.2022;Warner Brothers Entertainment GmbH;"Spielfilmabrechnung ""Joker"" 18.08.2022";-105,00 €;2022-08-30-0032
20.08.2022;Warner Brothers Entertainment GmbH;"Spielfilmabrechnung ""Hangover"" 14.08.2022";-186,58 €;2022-08-30-0033
20.08.2022;Linde GmbH;Materialkosten CO2 Gas (Bühneneffekt);-225,66 €;2022-08-30-0034
19.08.2022;Warner Brothers Entertainment GmbH;"Spielfilmabrechnung ""Project X"" 12.08.2022";-332,58 €;2022-08-30-0035
18.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;34,18 €;M0S6P6
17.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;13,55 €;H7H8J9
16.08.2022;Stripe Technology Europe Ltd;Auszahlung Ticketverkäufe Website Sommerkino;79,11 €;U6R9L4
